Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
6/20/2016,713.5,721.31,710.81,714.01,3677162,0,1,713.5,721.31,710.81,714.01,3677162
6/21/2016,715.72,718.4,712.721,715.82,2137534,0,1,715.72,718.4,712.721,715.82,2137534
6/22/2016,716.58,717,707.565,710.6,2260454,0,1,716.58,717,707.565,710.6,2260454
6/23/2016,715.5,722.12,712.5,722.08,2824974,0,1,715.5,722.12,712.5,722.08,2824974
6/24/2016,693,712.5292,692.2,698.96,7632511,0,1,693,712.5292,692.2,698.96,7632511
6/27/2016,692.01,696.8189,682.115,691.36,5584037,0,1,692.01,696.8189,682.115,691.36,5584037
6/28/2016,700,708,698.1714,707.95,4036957,0,1,700,708,698.1714,707.95,4036957
6/29/2016,715.75,719.5,713.54,715.6,3070052,0,1,715.75,719.5,713.54,715.6,3070052
6/30/2016,717.2,719.37,712.54,715.62,2855142,0,1,717.2,719.37,712.54,715.62,2855142
7/1/2016,717.32,728,716.54,725.68,2920423,0,1,717.32,728,716.54,725.68,2920423
7/5/2016,722.8,728.11,719.61,728.1,2431431,0,1,722.8,728.11,719.61,728.1,2431431
7/6/2016,725.71,737.77,722.58,737.61,3938249,0,1,725.71,737.77,722.58,737.61,3938249
7/7/2016,739.33,739.55,731.63,736.57,2945783,0,1,739.33,739.55,731.63,736.57,2945783
7/8/2016,740.14,746.1,738,745.81,3429217,0,1,740.14,746.1,738,745.81,3429217
7/11/2016,750,755.9,747,753.78,3195272,0,1,750,755.9,747,753.78,3195272
7/12/2016,756.86,757.34,740.33,748.21,5623657,0,1,756.86,757.34,740.33,748.21,5623657
7/13/2016,746.76,756.87,741.25,742.63,4142265,0,1,746.76,756.87,741.25,742.63,4142265
7/14/2016,748.86,749.04,739.02,741.2,2390472,0,1,748.86,749.04,739.02,741.2,2390472
7/15/2016,746.55,746.55,734.05,735.44,3121385,0,1,746.55,746.55,734.05,735.44,3121385
7/18/2016,735.49,741.5954,728.72,736.07,2954914,0,1,735.49,741.5954,728.72,736.07,2954914
7/19/2016,732.5,743.33,732.31,739.95,2216820,0,1,732.5,743.33,732.31,739.95,2216820
7/20/2016,744,746.25,740.7,745.72,2214023,0,1,744,746.25,740.7,745.72,2214023
7/21/2016,747.5,749.36,742.7918,744.43,2317072,0,1,747.5,749.36,742.7918,744.43,2317072
7/22/2016,747.79,751.28,743.53,744.86,2277711,0,1,747.79,751.28,743.53,744.86,2277711
7/25/2016,746.55,748.5,735.35,739.61,2679290,0,1,746.55,748.5,735.35,739.61,2679290
7/26/2016,742.71,743.13,732.7525,735.59,2529692,0,1,742.71,743.13,732.7525,735.59,2529692
7/27/2016,737.97,740.94,733.86,736.67,2913134,0,1,737.97,740.94,733.86,736.67,2913134
7/28/2016,745.98,753.36,739.7,752.61,7617580,0,1,745.98,753.36,739.7,752.61,7617580
7/29/2016,765,766,755,758.81,6777050,0,1,765,766,755,758.81,6777050
8/1/2016,759.87,770.5,757.06,767.74,3578205,0,1,759.87,770.5,757.06,767.74,3578205
8/2/2016,763.81,765.01,757.02,760.58,3603280,0,1,763.81,765.01,757.02,760.58,3603280
8/3/2016,757.06,758.89,752.25,754.64,3581525,0,1,757.06,758.89,752.25,754.64,3581525
8/4/2016,753.7,765,750.35,760.77,3178208,0,1,753.7,765,750.35,760.77,3178208
8/5/2016,764.81,768.47,763.09,765.98,2704391,0,1,764.81,768.47,763.09,765.98,2704391
8/8/2016,766.81,767,761.015,766.56,1986272,0,1,766.81,767,761.015,766.56,1986272
8/9/2016,767.39,772.6,766.9,768.31,1876091,0,1,767.39,772.6,766.9,768.31,1876091
8/10/2016,769.8,772.1,766.19,768.56,1604280,0,1,769.8,772.1,766.19,768.56,1604280
8/11/2016,769.94,773.75,769.12,771.24,2019740,0,1,769.94,773.75,769.12,771.24,2019740
8/12/2016,768.46,773.15,768.4225,772.56,1563318,0,1,768.46,773.15,768.4225,772.56,1563318
8/15/2016,771.9,772.04,767.71,768.49,2118521,0,1,771.9,772.04,767.71,768.49,2118521
8/16/2016,768.62,768.7317,763.82,764.04,1604561,0,1,768.62,768.7317,763.82,764.04,1604561
8/17/2016,764.41,765.22,759.199,764.63,1891116,0,1,764.41,765.22,759.199,764.63,1891116
8/18/2016,764,765.17,760.6,764.46,1458834,0,1,764,765.17,760.6,764.46,1458834
8/19/2016,761.9,762.49,756.89,757.31,2343237,0,1,761.9,762.49,756.89,757.31,2343237
8/22/2016,757.5,759.85,752.1,759.48,1679251,0,1,757.5,759.85,752.1,759.48,1679251
8/23/2016,763.31,764.7,761,762.45,1524131,0,1,763.31,764.7,761,762.45,1524131
8/24/2016,763,763.41,755.36,757.25,1744107,0,1,763,763.41,755.36,757.25,1744107
8/25/2016,756,760.56,754.741,759.22,1622992,0,1,756,760.56,754.741,759.22,1622992
8/26/2016,760.05,770,759.795,769,2776830,0,1,760.05,770,759.795,769,2776830
8/29/2016,768.72,774.98,768.6,771.29,2198560,0,1,768.72,774.98,768.6,771.29,2198560
8/30/2016,771.05,771.8358,765.56,767.58,1709158,0,1,771.05,771.8358,765.56,767.58,1709158
8/31/2016,766.6,769.64,764,769.16,1633789,0,1,766.6,769.64,764,769.16,1633789
9/1/2016,770.9,772.04,766.75,770.62,1792271,0,1,770.9,772.04,766.75,770.62,1792271
9/2/2016,774.11,776,771.7,772.44,2181792,0,1,774.11,776,771.7,772.44,2181792
9/6/2016,774.04,789.48,770.22,788.87,3719788,0,1,774.04,789.48,770.22,788.87,3719788
9/7/2016,789.53,790.79,784.33,784.48,2424622,0,1,789.53,790.79,784.33,784.48,2424622
9/8/2016,783.89,786.5,781.44,784.06,2030511,0,1,783.89,786.5,781.44,784.06,2030511
9/9/2016,779.36,781,760.11,760.14,4257344,0,1,779.36,781,760.11,760.14,4257344
9/12/2016,757.35,772.66,756,771.49,3124704,0,1,757.35,772.66,756,771.49,3124704
9/13/2016,768.77,769.89,759.05,761.01,3117224,0,1,768.77,769.89,759.05,761.01,3117224
9/14/2016,762.2,767.5,758.85,761.09,2531822,0,1,762.2,767.5,758.85,761.09,2531822
9/15/2016,762,770.87,757.58,769.69,3043534,0,1,762,770.87,757.58,769.69,3043534
9/16/2016,773.28,780.46,771.66,778.52,5499182,0,1,773.28,780.46,771.66,778.52,5499182
9/19/2016,779.97,781.94,771,775.1,2297221,0,1,779.97,781.94,771,775.1,2297221
9/20/2016,776,781.37,776,780.22,1937164,0,1,776,781.37,776,780.22,1937164
9/21/2016,783.25,790.69,779.01,789.74,2718644,0,1,783.25,790.69,779.01,789.74,2718644
9/22/2016,794.27,805.889,794.27,804.7,4078910,0,1,794.27,805.889,794.27,804.7,4078910
9/23/2016,803.13,807.75,802.12,805.75,2353511,0,1,803.13,807.75,802.12,805.75,2353511
9/26/2016,801.8,805.93,797.145,799.16,2651397,0,1,801.8,805.93,797.145,799.16,2651397
9/27/2016,801.85,816.64,801.11,816.11,3819600,0,1,801.85,816.64,801.11,816.11,3819600
9/28/2016,818,830.14,817.0337,828.72,4422078,0,1,818,830.14,817.0337,828.72,4422078
9/29/2016,828.26,837.5,824.63,829.05,4922248,0,1,828.26,837.5,824.63,829.05,4922248
9/30/2016,832.61,839.95,832.4,837.31,4430566,0,1,832.61,839.95,832.4,837.31,4430566
10/3/2016,836,839.86,831.25,836.74,2769448,0,1,836,839.86,831.25,836.74,2769448
