Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
6/20/2016,698.77,702.48,693.41,693.71,2082538,0,1,698.77,702.48,693.41,693.71,2082538
6/21/2016,698.4,702.77,692.01,695.94,1465634,0,1,698.4,702.77,692.01,695.94,1465634
6/22/2016,699.06,700.86,693.0819,697.46,1184318,0,1,699.06,700.86,693.0819,697.46,1184318
6/23/2016,697.45,701.95,687,701.87,2171415,0,1,697.45,701.95,687,701.87,2171415
6/24/2016,675.17,689.4,673.45,675.22,4449022,0,1,675.17,689.4,673.45,675.22,4449022
6/27/2016,671,672.3,663.284,668.26,2641085,0,1,671,672.3,663.284,668.26,2641085
6/28/2016,678.97,680.33,673,680.04,2173762,0,1,678.97,680.33,673,680.04,2173762
6/29/2016,683,687.4292,681.41,684.11,1932561,0,1,683,687.4292,681.41,684.11,1932561
6/30/2016,685.47,692.32,683.65,692.1,1597714,0,1,685.47,692.32,683.65,692.1,1597714
7/1/2016,692.2,700.65,692.1301,699.21,1344710,0,1,692.2,700.65,692.1301,699.21,1344710
7/5/2016,696.06,696.94,688.88,694.49,1462616,0,1,696.06,696.94,688.88,694.49,1462616
7/6/2016,689.98,701.68,689.09,697.77,1411925,0,1,689.98,701.68,689.09,697.77,1411925
7/7/2016,698.08,698.2,688.215,695.36,1304200,0,1,698.08,698.2,688.215,695.36,1304200
7/8/2016,699.5,705.71,696.435,705.63,1575166,0,1,699.5,705.71,696.435,705.63,1575166
7/11/2016,708.05,716.51,707.24,715.09,1111762,0,1,708.05,716.51,707.24,715.09,1111762
7/12/2016,719.12,722.94,715.91,720.64,1336921,0,1,719.12,722.94,715.91,720.64,1336921
7/13/2016,723.62,724,716.85,716.98,935876,0,1,723.62,724,716.85,716.98,935876
7/14/2016,721.58,722.21,718.03,720.95,950193,0,1,721.58,722.21,718.03,720.95,950193
7/15/2016,725.73,725.74,719.055,719.85,1279339,0,1,725.73,725.74,719.055,719.85,1279339
7/18/2016,722.71,736.13,721.19,733.78,1295476,0,1,722.71,736.13,721.19,733.78,1295476
7/19/2016,729.89,736.99,729,736.96,1227486,0,1,729.89,736.99,729,736.96,1227486
7/20/2016,737.33,742.13,737.1,741.19,1289671,0,1,737.33,742.13,737.1,741.19,1289671
7/21/2016,740.36,741.69,735.831,738.63,1026306,0,1,740.36,741.69,735.831,738.63,1026306
7/22/2016,741.86,743.24,736.56,742.74,1259823,0,1,741.86,743.24,736.56,742.74,1259823
7/25/2016,740.67,742.61,737.5,739.77,1032432,0,1,740.67,742.61,737.5,739.77,1032432
7/26/2016,739.04,741.69,734.27,738.42,1186738,0,1,739.04,741.69,734.27,738.42,1186738
7/27/2016,738.28,744.46,737,741.77,1512517,0,1,738.28,744.46,737,741.77,1512517
7/28/2016,747.04,748.65,739.3,745.91,3530169,0,1,747.04,748.65,739.3,745.91,3530169
7/29/2016,772.71,778.55,766.77,768.79,3841482,0,1,772.71,778.55,766.77,768.79,3841482
8/1/2016,761.09,780.43,761.09,772.88,2700470,0,1,761.09,780.43,761.09,772.88,2700470
8/2/2016,768.69,775.84,767.85,771.07,1784525,0,1,768.69,775.84,767.85,771.07,1784525
8/3/2016,767.18,773.21,766.82,773.18,1287421,0,1,767.18,773.21,766.82,773.18,1287421
8/4/2016,772.22,774.07,768.795,771.61,1140254,0,1,772.22,774.07,768.795,771.61,1140254
8/5/2016,773.78,783.04,772.34,782.22,1801205,0,1,773.78,783.04,772.34,782.22,1801205
8/8/2016,782,782.63,778.091,781.76,1107857,0,1,782,782.63,778.091,781.76,1107857
8/9/2016,781.1,788.94,780.57,784.26,1318894,0,1,781.1,788.94,780.57,784.26,1318894
8/10/2016,783.75,786.8123,782.778,784.68,786363,0,1,783.75,786.8123,782.778,784.68,786363
8/11/2016,785,789.75,782.97,784.85,975113,0,1,785,789.75,782.97,784.85,975113
8/12/2016,781.5,783.395,780.4,783.22,740498,0,1,781.5,783.395,780.4,783.22,740498
8/15/2016,783.75,787.49,780.11,782.44,938186,0,1,783.75,787.49,780.11,782.44,938186
8/16/2016,780.3,780.98,773.444,777.14,1028047,0,1,780.3,780.98,773.444,777.14,1028047
8/17/2016,777.32,780.81,773.53,779.91,924226,0,1,777.32,780.81,773.53,779.91,924226
8/18/2016,780.01,782.86,777,777.5,719429,0,1,780.01,782.86,777,777.5,719429
